id;campaign_details;campaign_type;start_date;end_date;created_by;created_date
1;../fake-data/blob/hipster.txt;Maine;2020-05-24T05:18:53;2020-05-24T23:48:06;payment next-generation;2020-05-24T07:32:14
2;../fake-data/blob/hipster.txt;optical;2020-05-24T03:45:56;2020-05-24T09:54:23;encoding New York;2020-05-24T09:50:28
3;../fake-data/blob/hipster.txt;Persevering;2020-05-24T19:33:37;2020-05-24T06:45:47;Lock;2020-05-24T17:09:43
4;../fake-data/blob/hipster.txt;red;2020-05-25T01:47:35;2020-05-24T18:07:02;Adaptive Movies Buckinghamshire;2020-05-24T04:04:24
5;../fake-data/blob/hipster.txt;Borders Forward;2020-05-24T15:16:30;2020-05-24T10:55:38;Licensed Metal Pants;2020-05-24T23:56:44
6;../fake-data/blob/hipster.txt;Turks and Caicos Islands Operations SQL;2020-05-24T18:24:25;2020-05-24T08:43:04;override Books Chief;2020-05-24T23:02:40
7;../fake-data/blob/hipster.txt;Sports Soap Avon;2020-05-24T15:03:39;2020-05-24T15:55:35;Small Forward;2020-05-24T10:24:06
8;../fake-data/blob/hipster.txt;user-centric Savings Account;2020-05-24T19:37:08;2020-05-24T09:42:59;Profound Ohio Garden;2020-05-24T13:36:43
9;../fake-data/blob/hipster.txt;Health Station;2020-05-24T08:02:01;2020-05-24T16:23:45;synthesizing Indiana connecting;2020-05-24T06:18:45
10;../fake-data/blob/hipster.txt;Re-contextualized Cambridgeshire;2020-05-24T11:49:29;2020-05-24T20:51:39;Paradigm;2020-05-24T23:28:28
