id;user_id;facebook;viber;created_date
1;Idaho system synthesize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T01:29:19
2;Pizza Virtual;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:35:49
3;Ergonomic Granite Keyboard cyan quantifying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T18:21:48
4;Data;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:38:10
5;Pennsylvania Movies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T08:48:02
6;Investment Account Investor Secured;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:23:02
7;monitor content;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T15:20:58
8;enable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:46:41
9;Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:36:44
10;Officer Checking Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:22:53
