id;analytic_id;connect_event;reference;created_date
1;Missouri;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:29:28
2;Pula e-tailers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:50:22
3;Car;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T08:54:07
4;program Indiana connect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T19:05:13
5;alliance Automotive yellow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:11:11
6;Home;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T06:03:20
7;quantify Face to face;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T20:14:53
8;deposit quantify Checking Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T21:55:43
9;Vermont;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:28:38
10;Saint Helena Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:20:12
