id;intent_id;flow_id;connect_channel;description;connect_type;messages;reminder;created_date;updated_date;created_by
1;intangible Avon payment;invoice bluetooth Afghani;Auto Loan Account Jersey Buckinghamshire;white;firewall wireless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:42:53;2020-05-24T20:27:10;Buckinghamshire markets
2;virtual Shirt Course;El Salvador;Ball Internal Tasty;payment HDD navigating;Quality;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T12:45:20;2020-05-24T15:38:27;Salad
3;Consultant overriding SQL;orchestration;PCI strategy;deposit;transmit Assurance transmit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:42:41;2020-05-24T13:18:35;invoice maximize SQL
4;Communications;XML synthesizing Forge;Supervisor;Shoes world-class Personal Loan Account;Product Cambridgeshire circuit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:09:04;2020-05-24T06:46:51;Secured Accounts
5;International Checking Account;green;payment Books;Optional strategize;Bolivar Fuerte 6th generation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T05:51:47;2020-05-24T18:42:46;ADP invoice
6;Savings Account withdrawal next generation;Rial Omani card;Keys Oregon;Pre-emptive Outdoors Montserrat;Awesome;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:53:45;2020-05-24T23:13:20;Mandatory
7;end-to-end website;application Iowa;lavender back-end front-end;Books;Chicken lavender compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T12:26:11;2020-05-24T12:25:56;Manager
8;maximize;Technician;Factors Concrete withdrawal;Health Shore Computer;Bolivar Fuerte Lake Unbranded;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:44:57;2020-05-24T11:35:42;intranet
9;Solutions;Ergonomic;Wooden Intranet;Data;Response;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:18:45;2020-05-25T01:27:06;Supervisor zero defect New Mexico
10;Democratic People's Republic of Korea Consultant CSS;Springs Automated;indexing Colombian Peso Unidad de Valor Real withdrawal;Money Market Account;RAM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:19:27;2020-05-24T20:18:52;Security Regional
