id;analytic_id;event;reference;created_date
1;Tasty Plastic Tuna cross-platform connect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:20:06
2;violet;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:51:18
3;CFA Franc BEAC bluetooth Missouri;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T06:11:55
4;fuchsia Awesome;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T07:57:47
5;generating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T05:53:41
6;out-of-the-box Mouse Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T15:39:25
7;architectures 24/7;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:12:57
8;mobile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T14:36:37
9;copying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T22:39:28
10;Personal Loan Account contingency Human;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T22:24:36
