id;intent_id;flow_id;channel;description;type;messages;reminder;created_date;updated_date;created_by
1;Serbian Dinar Svalbard & Jan Mayen Islands SMS;2180f5c9-4d81-476a-964d-4076d3174016;Cambridgeshire Cambridgeshire Road;EXE;virtual;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T18:55:27;2020-05-25T01:45:52;04e45b13-000f-4150-ba36-e5ed2f3c944e
2;transmit;0ff557b4-4e3b-4652-a430-179c6d7b7bd4;mindshare Analyst Dynamic;Dynamic;Organized Gabon networks;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T10:04:14;2020-05-24T16:07:33;b825654e-d160-48c8-870a-1b5a85cfb75a
3;Home Loan Account experiences plum;07ef07f4-6f22-471a-96dd-74640f2cac21;e-tailers indexing protocol;real-time compressing Balboa US Dollar;interface withdrawal Rubber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T23:29:56;2020-05-24T18:40:46;d974ed46-f7f8-47a3-89ae-cd41036d24fa
4;Ergonomic withdrawal;76412878-b404-4459-b67f-aa2c659b948e;Kip Home Future;Tuna Cheese;Analyst Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T20:46:39;2020-05-24T19:59:43;859292bb-9d79-45a5-9ab7-5c461cfa83f5
5;Ridges Rubber;4b094eb2-4324-4475-9d47-efc1598e8717;AGP;transmitter implement;Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T14:05:56;2020-05-24T04:59:25;708b5c3d-711a-4f96-ab71-998b335b95a5
6;robust;31a74bc2-8e98-4999-8a62-16f39debba3e;algorithm;silver monitor Industrial;Thailand optimizing sensor;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T20:02:50;2020-05-24T16:49:20;5148ca14-1271-4238-a69d-c78d6cbf7c2d
7;Taiwan;6dd0b625-7a60-4844-98b9-8eb844122635;Croatian Kuna Chicken Tasty;compress;red bluetooth;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T07:23:59;2020-05-24T22:07:55;ebc6127a-1de7-4add-b499-fe3ab20d78b2
8;web-readiness;1776224e-e786-4db5-97e1-54d555e1947f;Internal Tokelau Lebanese Pound;Gorgeous;Accounts synthesize aggregate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T08:04:26;2020-05-24T17:59:27;adc61673-e034-4729-a283-6dc0eee94d2c
9;Mission Orchestrator;bc8d30fb-9d60-48bd-9e8f-3ac1d065c5f9;connecting Representative mint green;Cotton Soap;extensible red compelling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T20:46:54;2020-05-25T00:40:08;1b3bcf17-458d-4a0a-934c-9f71eb9034ae
10;quantifying Soap;84b418f0-82bd-4d9c-8947-175d60675d30;Unbranded Steel Keyboard;payment auxiliary deposit;backing up Fantastic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:37:57;2020-05-24T09:02:15;33b47a22-5dd9-49c8-8941-94aee2fe701e
