id;campaign_id;ref;connect_details;created_date
1;payment Lead ADP;back-end Adaptive emulation;../fake-data/blob/hipster.txt;2020-05-24T23:01:53
2;navigating Qatar invoice;Cyprus Intranet;../fake-data/blob/hipster.txt;2020-05-25T00:21:14
3;syndicate;Avon synergies;../fake-data/blob/hipster.txt;2020-05-24T21:31:41
4;Fantastic;Brazilian Real;../fake-data/blob/hipster.txt;2020-05-24T05:50:29
5;Fish background value-added;South Carolina Florida Response;../fake-data/blob/hipster.txt;2020-05-25T00:33:27
6;Avon Shoes;holistic backing up Facilitator;../fake-data/blob/hipster.txt;2020-05-25T02:35:43
7;payment;Manager index;../fake-data/blob/hipster.txt;2020-05-24T08:44:37
8;Serbia technologies Rubber;protocol calculate;../fake-data/blob/hipster.txt;2020-05-24T17:42:59
9;Web online;Awesome Granite Computer leverage override;../fake-data/blob/hipster.txt;2020-05-24T17:51:35
10;brand connecting;Concrete;../fake-data/blob/hipster.txt;2020-05-24T13:58:33
