id;connect_details;user_id;created_by;created_date
1;../fake-data/blob/hipster.txt;silver;Bedfordshire engineer Executive;2020-05-24T07:56:29
2;../fake-data/blob/hipster.txt;Directives Island Sleek Frozen Table;neural Tasty Fresh Shirt Turkish Lira;2020-05-24T09:06:30
3;../fake-data/blob/hipster.txt;Track Montana;parse transmit Radial;2020-05-24T03:45:30
4;../fake-data/blob/hipster.txt;hub;infrastructures Buckinghamshire;2020-05-24T20:50:23
5;../fake-data/blob/hipster.txt;Global;generating virtual;2020-05-24T17:43:57
6;../fake-data/blob/hipster.txt;International;Grocery Credit Card Account;2020-05-24T23:00:36
7;../fake-data/blob/hipster.txt;Boliviano Mvdol Clothing;Group Ergonomic Plastic Shirt;2020-05-24T08:54:55
8;../fake-data/blob/hipster.txt;Engineer New Hampshire Missouri;Handmade Computer Soap;2020-05-24T14:57:08
9;../fake-data/blob/hipster.txt;unleash Industrial leading-edge;local PCI online;2020-05-24T13:24:09
10;../fake-data/blob/hipster.txt;Corner;withdrawal backing up European Monetary Unit (E.M.U.-6);2020-05-24T07:53:52
