id;campaign_details;campaign_type;start_date;end_date;created_by;created_date
1;../fake-data/blob/hipster.txt;Maine;2020-05-24T05:43:14;2020-05-25T00:12:27;payment next-generation;2020-05-24T07:56:35
2;../fake-data/blob/hipster.txt;optical;2020-05-24T04:10:17;2020-05-24T10:18:44;encoding New York;2020-05-24T10:14:49
3;../fake-data/blob/hipster.txt;Persevering;2020-05-24T19:57:58;2020-05-24T07:10:08;Lock;2020-05-24T17:34:04
4;../fake-data/blob/hipster.txt;red;2020-05-25T02:11:56;2020-05-24T18:31:23;Adaptive Movies Buckinghamshire;2020-05-24T04:28:45
5;../fake-data/blob/hipster.txt;Borders Forward;2020-05-24T15:40:51;2020-05-24T11:19:59;Licensed Metal Pants;2020-05-25T00:21:05
6;../fake-data/blob/hipster.txt;Turks and Caicos Islands Operations SQL;2020-05-24T18:48:46;2020-05-24T09:07:25;override Books Chief;2020-05-24T23:27:01
7;../fake-data/blob/hipster.txt;Sports Soap Avon;2020-05-24T15:28:00;2020-05-24T16:19:56;Small Forward;2020-05-24T10:48:27
8;../fake-data/blob/hipster.txt;user-centric Savings Account;2020-05-24T20:01:29;2020-05-24T10:07:20;Profound Ohio Garden;2020-05-24T14:01:04
9;../fake-data/blob/hipster.txt;Health Station;2020-05-24T08:26:22;2020-05-24T16:48:06;synthesizing Indiana connecting;2020-05-24T06:43:06
10;../fake-data/blob/hipster.txt;Re-contextualized Cambridgeshire;2020-05-24T12:13:50;2020-05-24T21:16:00;Paradigm;2020-05-24T23:52:49
