id;campaign_id;ref;connect_details;created_date
1;payment Lead ADP;back-end Adaptive emulation;../fake-data/blob/hipster.txt;2020-05-24T23:26:14
2;navigating Qatar invoice;Cyprus Intranet;../fake-data/blob/hipster.txt;2020-05-25T00:45:35
3;syndicate;Avon synergies;../fake-data/blob/hipster.txt;2020-05-24T21:56:02
4;Fantastic;Brazilian Real;../fake-data/blob/hipster.txt;2020-05-24T06:14:50
5;Fish background value-added;South Carolina Florida Response;../fake-data/blob/hipster.txt;2020-05-25T00:57:48
6;Avon Shoes;holistic backing up Facilitator;../fake-data/blob/hipster.txt;2020-05-25T03:00:04
7;payment;Manager index;../fake-data/blob/hipster.txt;2020-05-24T09:08:58
8;Serbia technologies Rubber;protocol calculate;../fake-data/blob/hipster.txt;2020-05-24T18:07:20
9;Web online;Awesome Granite Computer leverage override;../fake-data/blob/hipster.txt;2020-05-24T18:15:56
10;brand connecting;Concrete;../fake-data/blob/hipster.txt;2020-05-24T14:22:54
