id;campaign_details;campaign_type;start_date;end_date;created_by;created_date
1;../fake-data/blob/hipster.txt;MEMBERSHIP_RENEWAL;2020-05-25T00:12:27;2020-05-24T18:21:47;Money Market Account synthesizing;2020-05-24T20:19:58
2;../fake-data/blob/hipster.txt;MEMBERSHIP_LAPSE;2020-05-24T11:42:27;2020-05-24T10:14:49;Persevering;2020-05-24T19:57:58
3;../fake-data/blob/hipster.txt;ADHOC;2020-05-25T02:11:56;2020-05-24T18:31:23;Adaptive Movies Buckinghamshire;2020-05-24T04:28:45
4;../fake-data/blob/hipster.txt;BIRTHDAY;2020-05-24T11:19:59;2020-05-25T01:44:43;wireless;2020-05-24T18:36:10
5;../fake-data/blob/hipster.txt;MEMBERSHIP_RENEWAL;2020-05-24T04:21:16;2020-05-24T14:13:19;focus group parse override;2020-05-25T02:50:42
6;../fake-data/blob/hipster.txt;ADHOC;2020-05-24T07:08:31;2020-05-25T02:12:16;Soap Avon Berkshire;2020-05-24T13:07:09
7;../fake-data/blob/hipster.txt;MEMBERSHIP_RENEWAL;2020-05-24T10:48:27;2020-05-24T14:50:11;THX Focused;2020-05-24T10:07:20
8;../fake-data/blob/hipster.txt;MEMBERSHIP_LAPSE;2020-05-24T13:21:30;2020-05-25T02:34:24;Station index;2020-05-24T08:41:01
9;../fake-data/blob/hipster.txt;MEMBERSHIP_LAPSE;2020-05-24T20:54:16;2020-05-24T09:33:53;Orchestrator Customer-focused;2020-05-24T04:36:42
10;../fake-data/blob/hipster.txt;MEMBERSHIP_LAPSE;2020-05-25T03:01:21;2020-05-25T01:26:33;Specialist Common ability;2020-05-24T06:20:07
