id;analytic_id;connect_event;reference;created_date
1;Missouri;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:35:22
2;Pula e-tailers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:56:16
3;Car;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:00:01
4;program Indiana connect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T19:11:07
5;alliance Automotive yellow;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:17:05
6;Home;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T06:09:14
7;quantify Face to face;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T20:20:47
8;deposit quantify Checking Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T22:01:37
9;Vermont;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:34:32
10;Saint Helena Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:26:06
