id;intent_id;flow_id;connect_channel;description;connect_type;messages;reminder;created_date;updated_date;created_by
1;intangible Avon payment;invoice bluetooth Afghani;SMS;Multi-layered;BIRTHDAY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T07:07:00;2020-05-24T16:52:30;Forward
2;Shirt;Ergonomic El Salvador;WHATSAPP;bus Auto Loan Account;BIRTHDAY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T01:00:35;2020-05-24T22:57:35;Metrics optical fuchsia
3;Incredible;metrics frictionless FTP;WHATSAPP;transmit Toys THX;MEMBERSHIP_RENEWAL;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T14:42:15;2020-05-24T06:50:42;Forge toolset Shoes
4;Hills;Personal Loan Account solid state;WHATSAPP;applications Forest solid state;ADHOC;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T01:55:52;2020-05-24T14:30:08;Angola Practical Concrete Towels
5;technologies Bolivar Fuerte;Refined Plastic Shoes;MESSENGER;next generation Radial;BIRTHDAY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:05:09;2020-05-24T09:38:02;Pre-emptive Outdoors Montserrat
6;Awesome;Car;MESSENGER;website;MEMBERSHIP_LAPSE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T21:47:18;2020-05-24T04:33:43;Plastic Arkansas Books
7;Chicken lavender compress;Savings Account Manager;SMS;invoice Factors Concrete;BIRTHDAY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:01:35;2020-05-24T23:06:39;International
8;Lake Unbranded payment;intranet;SMS;Inverse;MEMBERSHIP_LAPSE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T19:09:36;2020-05-24T04:06:13;Automotive multi-state Licensed Frozen Chair
9;Planner;Infrastructure Wells;SMS;indexing Colombian Peso Unidad de Valor Real withdrawal;ADHOC;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T05:57:54;2020-05-24T23:57:19;leading edge Security
10;synergize Unbranded plum;XSS indigo;WHATSAPP;index calculating Directives;BIRTHDAY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:39:11;2020-05-24T04:59:13;model
