id;recipient_id;campaign_id;intent_id;channel;connect_details;done;executions;created_date;updated_date
1;Mississippi;Officer;Movies Licensed Soft Shirt;MESSENGER;../fake-data/blob/hipster.txt;true;3807;2020-05-24T21:02:09;2020-05-24T10:59:02
2;Triple-buffered Music;applications;invoice strategic Concrete;SMS;../fake-data/blob/hipster.txt;false;44331;2020-05-24T09:42:43;2020-05-24T09:43:09
3;South Carolina Sao Tome and Principe time-frame;Metal;Industrial Ergonomic Berkshire;WHATSAPP;../fake-data/blob/hipster.txt;true;62338;2020-05-24T04:41:14;2020-05-24T07:27:50
4;Gorgeous Cotton Shirt Court;ADP SAS expedite;Profound;WHATSAPP;../fake-data/blob/hipster.txt;false;34289;2020-05-25T01:55:14;2020-05-24T21:29:14
5;haptic;Movies alarm Marshall Islands;Personal Loan Account Assurance;SMS;../fake-data/blob/hipster.txt;false;60367;2020-05-24T23:07:31;2020-05-24T22:47:12
6;orange;transmitting;encompassing;MESSENGER;../fake-data/blob/hipster.txt;true;58319;2020-05-24T04:12:22;2020-05-24T14:38:49
7;Saint Vincent and the Grenadines Data;Object-based;Dominica;MESSENGER;../fake-data/blob/hipster.txt;true;18661;2020-05-24T22:13:40;2020-05-24T03:22:33
8;Baby copy Adaptive;Jersey;Concrete;MESSENGER;../fake-data/blob/hipster.txt;false;84287;2020-05-24T09:04:44;2020-05-24T08:14:15
9;Awesome implement feed;strategic;Checking Account grey;SMS;../fake-data/blob/hipster.txt;false;71701;2020-05-25T02:24:13;2020-05-24T21:06:42
10;revolutionary Australia Zambia;withdrawal;Technician Games Investor;MESSENGER;../fake-data/blob/hipster.txt;false;21119;2020-05-24T12:53:49;2020-05-24T03:18:34
