id;connect_details;user_id;created_by;created_date
1;../fake-data/blob/hipster.txt;silver;Bedfordshire engineer Executive;2020-05-24T08:20:50
2;../fake-data/blob/hipster.txt;Directives Island Sleek Frozen Table;neural Tasty Fresh Shirt Turkish Lira;2020-05-24T09:30:51
3;../fake-data/blob/hipster.txt;Track Montana;parse transmit Radial;2020-05-24T04:09:51
4;../fake-data/blob/hipster.txt;hub;infrastructures Buckinghamshire;2020-05-24T21:14:44
5;../fake-data/blob/hipster.txt;Global;generating virtual;2020-05-24T18:08:18
6;../fake-data/blob/hipster.txt;International;Grocery Credit Card Account;2020-05-24T23:24:57
7;../fake-data/blob/hipster.txt;Boliviano Mvdol Clothing;Group Ergonomic Plastic Shirt;2020-05-24T09:19:16
8;../fake-data/blob/hipster.txt;Engineer New Hampshire Missouri;Handmade Computer Soap;2020-05-24T15:21:29
9;../fake-data/blob/hipster.txt;unleash Industrial leading-edge;local PCI online;2020-05-24T13:48:30
10;../fake-data/blob/hipster.txt;Corner;withdrawal backing up European Monetary Unit (E.M.U.-6);2020-05-24T08:18:13
