id;user_id;facebook;viber;created_date
1;Idaho system synthesize;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T01:35:13
2;Pizza Virtual;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T04:41:43
3;Ergonomic Granite Keyboard cyan quantifying;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T18:27:42
4;Data;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:44:04
5;Pennsylvania Movies;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T08:53:56
6;Investment Account Investor Secured;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:28:56
7;monitor content;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T15:26:52
8;enable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T09:52:35
9;Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:42:38
10;Officer Checking Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:28:47
