id;campaign_id;recipient_id;connect_details;channel;intent_id;intent_type;connect_event;created_date;updated_date
1;Lights Guinea Central;emulation extend;../fake-data/blob/hipster.txt;Tunnel;Front-line;implement olive;../fake-data/blob/hipster.txt;2020-05-24T12:34:02;2020-05-24T16:23:38
2;Square red;Rustic Concrete Pizza Hat Sharable;../fake-data/blob/hipster.txt;Planner;Run sticky;Developer;../fake-data/blob/hipster.txt;2020-05-24T15:20:45;2020-05-24T22:04:08
3;Programmable;Incredible Metal Car Fully-configurable;../fake-data/blob/hipster.txt;neural dynamic;interactive invoice Granite;Chips incubate ADP;../fake-data/blob/hipster.txt;2020-05-24T21:18:34;2020-05-24T05:38:25
4;matrix Intelligent;Slovenia;../fake-data/blob/hipster.txt;Dynamic Internal;payment SMS;Row;../fake-data/blob/hipster.txt;2020-05-24T15:04:14;2020-05-24T04:19:57
5;input;exuding Movies;../fake-data/blob/hipster.txt;Chips;Officer Officer generating;Human;../fake-data/blob/hipster.txt;2020-05-24T14:24:42;2020-05-24T22:13:43
6;interfaces Oregon;THX;../fake-data/blob/hipster.txt;Cotton;West Virginia;parsing;../fake-data/blob/hipster.txt;2020-05-25T01:50:55;2020-05-25T01:57:00
7;EXE Future;integrated;../fake-data/blob/hipster.txt;AI proactive Borders;Kansas intangible markets;Pennsylvania ADP interface;../fake-data/blob/hipster.txt;2020-05-24T20:51:28;2020-05-25T00:55:18
8;e-commerce seize;Principal concept;../fake-data/blob/hipster.txt;violet;firewall;Investment Account solid state maroon;../fake-data/blob/hipster.txt;2020-05-24T05:17:48;2020-05-24T09:03:34
9;invoice;e-services;../fake-data/blob/hipster.txt;deposit;Baby Human killer;Chief;../fake-data/blob/hipster.txt;2020-05-24T08:19:08;2020-05-24T17:06:41
10;Handmade Pizza;Ergonomic Forges;../fake-data/blob/hipster.txt;invoice encoding;payment solutions California;Refined invoice;../fake-data/blob/hipster.txt;2020-05-24T13:11:12;2020-05-24T16:02:40
