id;campaign_id;template_flow_id;created_date;created_by
1;Cambridgeshire;redundant;2020-05-24T16:50:05;front-end Savings Account Courts
2;FTP value-added orchestrate;deposit;2020-05-24T12:17:06;Buckinghamshire Global synthesizing
3;teal Saint Lucia SMTP;Officer International Agent;2020-05-24T21:29:16;Crossing
4;backing up;exploit;2020-05-25T01:30:45;firewall Markets moratorium
5;global index niches;Games complexity;2020-05-24T14:27:44;Creative Gabon monitor
6;National Borders;index Fresh synergies;2020-05-24T05:38:52;Bedfordshire Solutions
7;Creative payment feed;payment card;2020-05-24T11:49:32;Implementation Cambridgeshire
8;Cambridgeshire synthesize Synergized;Practical Investor SCSI;2020-05-24T21:29:01;Field haptic
9;monetize payment ivory;quantifying transition;2020-05-24T22:06:30;neural-net wireless User-friendly
10;seamless;Handmade dynamic microchip;2020-05-24T06:14:45;Group program Incredible
