id;intent_id;flow_id;connect_channel;description;connect_type;messages;reminder;created_date;updated_date;created_by
1;intangible Avon payment;invoice bluetooth Afghani;Auto Loan Account Jersey Buckinghamshire;white;firewall wireless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:48:47;2020-05-24T20:33:04;Buckinghamshire markets
2;virtual Shirt Course;El Salvador;Ball Internal Tasty;payment HDD navigating;Quality;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T12:51:14;2020-05-24T15:44:21;Salad
3;Consultant overriding SQL;orchestration;PCI strategy;deposit;transmit Assurance transmit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:48:35;2020-05-24T13:24:29;invoice maximize SQL
4;Communications;XML synthesizing Forge;Supervisor;Shoes world-class Personal Loan Account;Product Cambridgeshire circuit;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T17:14:58;2020-05-24T06:52:45;Secured Accounts
5;International Checking Account;green;payment Books;Optional strategize;Bolivar Fuerte 6th generation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T05:57:41;2020-05-24T18:48:40;ADP invoice
6;Savings Account withdrawal next generation;Rial Omani card;Keys Oregon;Pre-emptive Outdoors Montserrat;Awesome;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-25T02:59:39;2020-05-24T23:19:14;Mandatory
7;end-to-end website;application Iowa;lavender back-end front-end;Books;Chicken lavender compress;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T12:32:05;2020-05-24T12:31:50;Manager
8;maximize;Technician;Factors Concrete withdrawal;Health Shore Computer;Bolivar Fuerte Lake Unbranded;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:50:51;2020-05-24T11:41:36;intranet
9;Solutions;Ergonomic;Wooden Intranet;Data;Response;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T11:24:39;2020-05-25T01:33:00;Supervisor zero defect New Mexico
10;Democratic People's Republic of Korea Consultant CSS;Springs Automated;indexing Colombian Peso Unidad de Valor Real withdrawal;Money Market Account;RAM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2020-05-24T13:25:21;2020-05-24T20:24:46;Security Regional
